category,vendor,website,pricing_or_estimate,rating,status,source,next_step,public_notes
Florist,AM Florals,amfloralstudio.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Allycia is praised for versatility – from simple and elegant to bold and impactful arrangements. Venue staff and brides are “always thrilled” with how her florals make the space look its best[52].
Live Music,Kimberley Dunn,kimberleydunn.com,Not found (contact),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","An incredibly talented pianist/vocalist – described as having an “angelic voice” that guests talk about for months[53]. Clients say her performances create an elegant, heartwarming atmosphere."
Live Music,Luxe Duo,luxeduo.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","A violin-and-cello duo blending classical and contemporary. Reviews love that they make classical music “not boring” – fun, modern vibe and superb talent[54]. Perfect for ceremonies/cocktails."
Live Music,Duo d’Amore,duodamore.com,Packages available,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Popular string ensemble for ceremonies. Praised for graceful, elegant music that complements venues like Le Belvédère’s natural setting[55]. Reliable and easy to work with."
Live Music,Sway Band,swaybandottawa.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",A lively cover band perfect for receptions. Couples say Sway Band brings “amazing energy” – great covers that get everyone dancing. Considered a fun alternative to a DJ for an “awesome party” vibe[56].
Live Music,Davey Lawlor,daveylawlorlive.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Solo singer-guitarist with a relaxed, folksy style. Known for creating a warm ambiance during ceremonies or cocktail hour. Clients appreciate his soulful voice and personable approach."
Officiant,Merry Fairy Weddings,merryfairyweddings.com,Packages available,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Bilingual (English/French) officiant Catherine is praised for personalized ceremonies (even fun “Frenglish” mixes). Couples love her warm, flexible approach and say she offers exactly what they need – from simple paperwork to a full custom ceremony[57]."
Officiant,All Seasons Weddings,allseasonsweddings.com,Ceremony fee ranges,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Large network of officiants. Highly reputable – couples report All Seasons made it easy to find an officiant whose style matched their vision. Hundreds of 5★ reviews cite professional and meaningful ceremonies.
Officiant,Exceptional Ceremonies,exceptionalceremonies.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Husband-and-wife team (Lynn and Keith) known for unique, personalized ceremonies. Clients frequently mention their humor and warmth – “felt like part of the family” and made guests laugh at perfect moments[58]."
Photobooth,MDRN Photobooth,mdrnphotoboothcompany.com,Packages available,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",A premium photo booth service. Clients love the sleek setups and fun props – high-quality photos and professional attendants. Many mention MDRN as a “highlight of the reception” for guests.
Photobooth,Lexibooth,lexiphotobooth.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Open-concept booth with creative backdrops. Reviews praise Lexibooth’s easy setup and how guests of all ages had a blast. Known for great customer service and customizable photo templates – “lots of laughs and memories” created.
Photography,Union Eleven,unioneleven.com,Collections by request,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","A top-tier studio – admired for capturing “perfect candid moments” and delivering creative, magazine-quality shots[60]. Clients often comment on their professionalism and ability to put couples at ease."
Photo/Video,Grey Loft Studio,greyloftstudio.ca,Photo/video packages,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Husband-and-wife team offering both photo and video. Loved for their light, airy style and fun personalities – “always up for an adventure”. Numerous couples mention feeling like friends, not just clients[61]."
Photography,Rob Lloyd,roblloyd.ca,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Documentary-style photographer with a film/editorial flair. Reviews highlight Rob’s calming presence and talent for capturing genuine moments – couples “love his personal style” and feel relaxed on camera[62].
Photography,Anita Peeples,anitapeeples.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Anita’s clients adore her blend of perfect portraits and goofy candids. Described as fun and creative, making everyone comfortable. Many remark that she “captures everything to perfection” while keeping things light[63]."
Photography,Lauren McCormick,laurenmccormickphotography.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Known for her bubbly, adventurous spirit. Couples say Lauren’s enthusiasm is infectious – she makes the day fun and stress-free. Frequently praised for her beautiful use of natural light and cheerful professionalism[64]."
Photography,Rubicon Photography,rubiconphotography.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",A dynamic duo (wife & husband). Documentarian style with a musical flair – relaxed and candid approach. Clients love their energy (famous pre-wedding dance moves!) and how they capture love stories authentically[65].
Photography,Grace & Gold Studios,graceandgoldstudios.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","An Ottawa favorite (also behind Le Belvédère’s site imagery). Tracey from G&G is celebrated for her calm, collected presence and “amazing” photos[66]. Brides note her infectious smile and how at ease she makes everyone feel."
Photography,Agatha Rowland,agatharowland.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Contemporary, documentary approach. Clients describe Agatha’s work as organic and true to the day – she captures “hundreds of little moments” that together tell a heartfelt story[67]. Very responsive and detail-oriented."
Planning/Design,Kennedy Events,kennedyevents.ca,Not found (custom packages),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Led by Shanon Kennedy. Clients rave about her light-hearted personality and flawless execution – “felt like planning with your BFF”[68]. Highly organized and makes the process enjoyable from start to finish.
Planning/Design,Wedecor (Planning),wedecor.ca,(See Décor above),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","(See notes above. In planning/design capacity, Wedecor is known for full-service décor+planning packages. Many couples loved the one-stop convenience, though some reported communication challenges in recent years.)"
Planning,Erica Irwin,ericairwin.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Widely praised for making wedding planning fun and stress-free. Erica’s couples consistently mention her years of experience, vendor connections, and meticulous organization ensuring “everything and everyone is taken care of”[69]. Very hands-on and reassuring."
Stationery,Wishtree Invites,wishtreeinvites.com,Not found (custom design),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Invitation design studio. Couples report Wishtree’s team is helpful and creative, delivering trendy, beautiful invites that are informative and functional[70]. Known for great attention to detail and personalizing stationery to each couple’s theme."
Transportation,417 Bus Line,417busline.com,Not found (coach charters),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Provides shuttle and coach services. Generally good feedback for timely, safe service. Some wedding groups noted the buses are clean and drivers are courteous – popular for guest shuttles to venues."
Transportation,Imperial (ITS),itsottawa.com,Not found (limo/transport),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Imperial Transportation Services – known for luxury limos and shuttles. Reviews praise the professional chauffeurs and smooth experience; commonly used for bridal party transportation with high satisfaction.
Transportation,ML Bradley,mlbradley.com,Not found (school buses),,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Family-run bus company. Frequently hired for wedding guest transportation (school bus charters) – valued as affordable and reliable. Feedback highlights friendly drivers and on-time service, though buses are basic."
Videography,Jinbon Films,jinbon.ca,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Known for a “simplistic, classy, authentic” style[71]. Couples love how Jin captures candid moments that bring back all the emotions – resulting films are heartfelt and beautifully edited. Very unobtrusive on the day."
Videography,Grey Loft Studio,greyloftstudio.ca,See Grey Loft above,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","(See Grey Loft in Photographers. Their videography is equally praised – clients note their fun, dual photo-video coverage kept things seamless, and videos are “beyond expectations,” capturing all the joy.)[72]"
Videography,Up North Films,letsgoupnorth.com,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Joshua’s films are creative and unique – couples say they “want to watch it over and over.” Highly confident storytelling, blending big moments and tiny details into a compelling wedding film[73]. Great to work with (impresses vendors, too)."
Videography,Palm Tree Studio,palmtreestudio.ca,Not found,,Researching,Uploaded XLS - Belvedere,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.",Offers cinematic wedding videos. Clients mention beautiful use of music and scenery in their films. Feedback highlights the team’s easygoing nature and how joyfully the wedding day is captured for posterity.
Décor & Rentals,Mastermind Event Rentals,mmecanada.com[1],Not Found,,Researching,Uploaded XLS - The Grand,"Confirm availability, inclusions, travel/setup fees, and whether they fit the fusion/Indian wedding needs.","Clients praise Mastermind for its fantastic recommendations, cost-effective solutions, prompt communication, and total professionalism – “you can tell they love what they do”[5]. Reviews often highlight the team’s impeccable service and willingness to go above and beyond[6]."
